"year","obs_temperature","obs_ocheat","obs_ocheatsigma","obs_co2inst","obs_co2ice","obs_ocflux","obs_ocflux_err","obs_ch4inst","unc"
1850,-0.07779999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1851,0.07720000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1852,0.07620000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1853,0.032200000000000006,NA,NA,NA,NA,NA,NA,NA,NA
1854,0.06120000000000003,NA,NA,NA,284.9,NA,NA,NA,NA
1855,0.04820000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1856,-0.04179999999999995,NA,NA,NA,NA,NA,NA,NA,NA
1857,-0.13579999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1858,-0.14579999999999999,NA,NA,NA,NA,NA,NA,NA,NA
1859,0.0232,NA,NA,NA,NA,NA,NA,NA,NA
1860,0.00020000000000003348,NA,NA,NA,NA,NA,NA,NA,NA
1861,-0.049799999999999955,NA,NA,NA,286.6,NA,NA,NA,NA
1862,-0.1718,NA,NA,NA,NA,NA,NA,NA,NA
1863,0.05120000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1864,-0.13879999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1865,0.08020000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1866,0.08120000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1867,0.054200000000000026,NA,NA,NA,NA,NA,NA,NA,NA
1868,0.10320000000000001,NA,NA,NA,NA,NA,NA,NA,NA
1869,0.07320000000000004,NA,NA,NA,287.4,NA,NA,NA,NA
1870,0.0852,NA,NA,NA,NA,NA,NA,NA,NA
1871,0.03520000000000001,NA,NA,NA,NA,NA,NA,NA,NA
1872,0.10820000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1873,0.03420000000000001,NA,NA,NA,NA,NA,NA,NA,NA
1874,-0.0338,NA,NA,NA,NA,NA,NA,NA,NA
1875,-0.049799999999999955,NA,NA,NA,NA,NA,NA,NA,NA
1876,-0.0348,NA,NA,NA,NA,NA,NA,NA,NA
1877,0.2762,NA,NA,NA,288.8,NA,NA,NA,NA
1878,0.39320000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1879,0.10220000000000001,NA,NA,NA,NA,NA,NA,NA,NA
1880,0.10720000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1881,0.12220000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1882,0.11820000000000003,NA,NA,NA,291.9,NA,NA,NA,NA
1883,0.06620000000000004,NA,NA,NA,NA,NA,NA,NA,NA
1884,-0.018799999999999983,NA,NA,NA,NA,NA,NA,NA,NA
1885,0.003200000000000036,NA,NA,NA,NA,NA,NA,NA,NA
1886,0.0902,NA,NA,NA,293.7,NA,NA,NA,NA
1887,-0.020799999999999985,NA,NA,NA,NA,NA,NA,NA,NA
1888,0.028200000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1889,0.17220000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1890,-0.06679999999999997,NA,NA,NA,NA,NA,NA,NA,NA
1891,-0.01579999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1892,-0.12179999999999996,NA,NA,NA,294.6,NA,NA,NA,NA
1893,-0.14079999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1894,-0.07979999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1895,-0.05579999999999996,NA,NA,NA,NA,NA,NA,NA,NA
1896,0.15320000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1897,0.12020000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1898,-0.06979999999999997,NA,NA,NA,294.7,NA,NA,NA,NA
1899,0.04820000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1900,0.14020000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1901,0.06220000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1902,-0.06779999999999997,NA,NA,NA,NA,NA,NA,NA,NA
1903,-0.14479999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1904,-0.18980000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1905,-0.04679999999999995,NA,NA,NA,297.7,NA,NA,NA,NA
1906,0.03520000000000001,NA,NA,NA,NA,NA,NA,NA,NA
1907,-0.14179999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1908,-0.19380000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1909,-0.19979999999999992,NA,NA,NA,NA,NA,NA,NA,NA
1910,-0.18180000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1911,-0.21679999999999994,NA,NA,NA,NA,NA,NA,NA,NA
1912,-0.12679999999999997,NA,NA,NA,300.7,NA,NA,NA,NA
1913,-0.12379999999999997,NA,NA,NA,NA,NA,NA,NA,NA
1914,0.05920000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1915,0.15120000000000003,NA,NA,NA,301.3,NA,NA,NA,NA
1916,-0.06979999999999997,NA,NA,NA,NA,NA,NA,NA,NA
1917,-0.14179999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1918,-0.022799999999999987,NA,NA,NA,NA,NA,NA,NA,NA
1919,0.03520000000000001,NA,NA,NA,NA,NA,NA,NA,NA
1920,0.05120000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1921,0.10520000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1922,-0.01679999999999998,NA,NA,NA,NA,NA,NA,NA,NA
1923,0.01820000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1924,0.003200000000000036,NA,NA,NA,304.5,NA,NA,NA,NA
1925,0.0912,NA,NA,NA,NA,NA,NA,NA,NA
1926,0.20320000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1927,0.11120000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1928,0.11020000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1929,-0.010799999999999976,NA,NA,NA,NA,NA,NA,NA,NA
1930,0.20120000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1931,0.24320000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1932,0.21020000000000003,NA,NA,NA,307.8,NA,NA,NA,NA
1933,0.06820000000000004,NA,NA,NA,NA,NA,NA,NA,NA
1934,0.20620000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1935,0.18220000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1936,0.21320000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1937,0.33120000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1938,0.37420000000000003,NA,NA,NA,310.5,NA,NA,NA,NA
1939,0.3662,NA,NA,NA,311.0,NA,NA,NA,NA
1940,0.38520000000000004,NA,NA,NA,NA,NA,NA,NA,NA
1941,0.44320000000000004,NA,NA,NA,NA,NA,NA,NA,NA
1942,0.33420000000000005,NA,NA,NA,NA,NA,NA,NA,NA
1943,0.3362,NA,NA,NA,NA,NA,NA,NA,NA
1944,0.4862,NA,NA,NA,309.7,NA,NA,NA,NA
1945,0.3582,NA,NA,NA,NA,NA,NA,NA,NA
1946,0.16120000000000004,NA,NA,NA,NA,NA,NA,NA,NA
1947,0.16720000000000002,NA,NA,NA,NA,NA,NA,NA,NA
1948,0.16120000000000004,NA,NA,NA,NA,NA,NA,NA,NA
1949,0.15420000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1950,0.05520000000000003,NA,NA,NA,NA,NA,NA,NA,NA
1951,0.1962,NA,NA,NA,NA,NA,NA,NA,NA
1952,0.2892,NA,NA,NA,NA,NA,NA,NA,NA
1953,0.3362,-12.23,11.74,NA,311.9,NA,NA,NA,NA
1954,0.11320000000000002,-7.64,11.26,NA,NA,NA,NA,NA,NA
1955,0.08320000000000005,-9.2,8.52,NA,NA,NA,NA,NA,NA
1956,0.01720000000000005,-8.39,16.44,NA,NA,NA,NA,NA,NA
1957,0.2902,-10.16,11.86,NA,NA,NA,NA,NA,NA
1958,0.3542,-8.25,18.04,NA,NA,NA,NA,NA,NA
1959,0.2922,-8.71,17.84,315.98,NA,NA,NA,NA,NA
1960,0.24020000000000002,-6.99,19.22,316.91,NA,NA,NA,NA,NA
1961,0.3412,-10.11,10.08,317.64,NA,NA,NA,NA,NA
1962,0.3432,-8.96,10.26,318.45,NA,NA,NA,NA,NA
1963,0.3662,-9.24,7.66,318.99,NA,NA,NA,NA,NA
1964,0.06920000000000004,-5.8,8.38,319.62,NA,NA,NA,NA,NA
1965,0.14920000000000003,-5.36,5.46,320.04,NA,NA,NA,NA,NA
1966,0.21720000000000003,-4.24,11.8,321.38,NA,NA,NA,NA,NA
1967,0.21620000000000003,-3.81,7.96,322.16,NA,NA,NA,NA,NA
1968,0.20620000000000002,-2.65,5.24,323.04,NA,NA,NA,NA,NA
1969,0.3542,-6.94,7.54,324.62,NA,NA,NA,NA,NA
1970,0.2972,-5.42,6.04,325.68,NA,NA,NA,NA,NA
1971,0.17520000000000002,-4.24,6.2,326.32,NA,NA,NA,NA,NA
1972,0.30720000000000003,-2.14,6.64,327.45,NA,NA,NA,NA,NA
1973,0.44220000000000004,-0.91,10.68,329.68,NA,NA,NA,NA,NA
1974,0.15020000000000003,1.16,5.84,330.17,NA,NA,NA,NA,NA
1975,0.1952,3.39,8.46,331.08,NA,NA,NA,NA,NA
1976,0.11020000000000002,6.97,11.44,332.05,NA,NA,NA,NA,NA
1977,0.38220000000000004,5.34,7.2,333.78,NA,NA,NA,NA,NA
1978,0.3002,7.78,4.98,335.41,NA,NA,NA,NA,NA
1979,0.4142,8.63,9.9,336.78,NA,NA,NA,NA,NA
1980,0.44120000000000004,6.13,5.28,338.68,NA,NA,NA,NA,NA
1981,0.4852,2.49,6.96,340.11,NA,NA,NA,NA,NA
1982,0.37520000000000003,3.13,3.88,341.22,NA,NA,NA,NA,NA
1983,0.5422,1.82,11.12,342.84,NA,NA,NA,NA,NA
1984,0.3442,1.66,10.22,344.41,NA,NA,NA,1644.57,0.68
1985,0.32720000000000005,1.95,11.62,345.87,NA,1.6,0.4,1657.39,0.55
1986,0.3952,3.06,9.94,347.19,NA,NA,NA,1669.84,0.73
1987,0.5442,4.46,4.42,348.98,NA,NA,NA,1682.09,0.54
1988,0.5452,4.21,7.66,351.45,NA,NA,NA,1693.19,0.62
1989,0.4672,2.92,7.74,352.9,NA,NA,NA,1704.0,0.55
1990,0.6202000000000001,3.64,4.8,354.16,NA,NA,NA,1714.0,0.65
1991,0.5782,2.01,2.5,355.48,NA,NA,NA,1724.65,0.65
1992,0.4272,2.14,8.1,356.27,NA,NA,NA,1735.31,0.55
1993,0.4712,2.38,10.36,356.95,NA,NA,NA,1736.43,0.42
1994,0.5372,5.69,7.32,358.64,NA,NA,NA,1741.86,0.51
1995,0.6402000000000001,8.65,8.72,360.62,NA,2.0,0.4,1748.73,0.43
1996,0.5022,14.44,8.54,362.36,NA,NA,NA,1750.94,0.61
1997,0.7172000000000001,NA,NA,363.47,NA,NA,NA,1754.36,0.36
1998,0.9132,NA,NA,366.5,NA,NA,NA,1765.36,0.7
1999,0.6622,NA,NA,368.14,NA,NA,NA,1771.98,0.55
2000,0.6362000000000001,NA,NA,369.4,NA,NA,NA,1773.05,0.68
2001,0.7732,NA,NA,371.07,NA,NA,NA,1770.99,0.55
2002,0.8302,NA,NA,373.17,NA,NA,NA,1772.59,0.47
2003,0.8402000000000001,NA,NA,375.78,NA,NA,NA,1776.89,0.56
2004,0.8122,NA,NA,377.52,NA,NA,NA,1776.95,0.56
2005,0.8472,NA,NA,379.76,NA,NA,NA,1773.94,0.64
2006,0.7902,NA,NA,381.85,NA,NA,NA,1774.65,0.47
2007,0.7672000000000001,NA,NA,383.71,NA,NA,NA,1781.02,0.58
2008,0.6902,NA,NA,385.57,NA,NA,NA,1786.86,0.55
2009,0.8082,NA,NA,387.35,NA,NA,NA,1793.19,0.64
2010,0.8402000000000001,NA,NA,389.78,NA,NA,NA,1798.64,0.78
2011,NA,NA,NA,NA,NA,NA,NA,1802.95,0.69
2012,NA,NA,NA,NA,NA,NA,NA,1808.19,0.5
2013,NA,NA,NA,NA,NA,NA,NA,1813.28,0.62
2014,NA,NA,NA,NA,NA,NA,NA,1822.5,0.51
