year,hadcrut_temperature,hadcrut_err,obs_ocheat,obs_ocheatsigma,obs_co2inst,co2inst_sigma,obs_co2ice,co2ice_sigma,obs_ocflux,obs_ocflux_err,obs_ch4inst,ch4inst_sigma,obs_ch4ice,ch4ice_sigma
1850,-0.08099999999999996,0.106,,,,,,,,,,,,
1851,0.07400000000000004,0.102,,,,,,,,,,,,
1852,0.06400000000000003,0.1,,,,,,,,,,,803.6188741258742,15.0
1853,0.02300000000000002,0.098,,,,,,,,,,,,
1854,0.04400000000000004,0.089,,,,,284.9,1.2,,,,,,
1855,0.020000000000000018,0.088,,,,,,,,,,,,
1856,-0.06599999999999995,0.088,,,,,,,,,,,795.0652237762238,15.0
1857,-0.16899999999999998,0.084,,,,,,,,,,,,
1858,-0.175,0.086,,,,,,,,,,,,
1859,0.008000000000000063,0.089,,,,,,,,,,,,
1860,-0.05099999999999999,0.09,,,,,,,,,,,,
1861,-0.11499999999999994,0.099,,,,,286.6,1.2,,,,,,
1862,-0.23199999999999998,0.104,,,,,,,,,,,,
1863,0.014000000000000012,0.106,,,,,,,,,,,810.8963356643357,15.0
1864,-0.20199999999999996,0.101,,,,,,,,,,,,
1865,0.013000000000000012,0.109,,,,,,,,,,,,
1866,0.041000000000000036,0.103,,,,,,,,,,,,
1867,-0.02899999999999997,0.102,,,,,,,,,,,,
1868,0.05400000000000005,0.098,,,,,,,,,,,,
1869,0.030000000000000027,0.09,,,,,287.4,1.2,,,,,,
1870,0.016000000000000014,0.082,,,,,,,,,,,,
1871,-0.04299999999999998,0.087,,,,,,,,,,,834.989034965035,15.0
1872,0.06500000000000003,0.081,,,,,,,,,,,,
1873,-0.011999999999999955,0.078,,,,,,,,,,,,
1874,-0.07599999999999996,0.077,,,,,,,,,,,,
1875,-0.10299999999999998,0.076,,,,,,,,,,,,
1876,-0.09199999999999997,0.075,,,,,,,,,,,,
1877,0.21700000000000003,0.075,,,,,288.8,1.2,,,,,,
1878,0.32700000000000007,0.075,,,,,,,,,,,,
1879,0.06200000000000003,0.071,,,,,,,,,,,847.4817342657342,15.0
1880,0.06500000000000003,0.073,,,,,,,,,,,,
1881,0.09200000000000003,0.074,,,,,,,,,,,,
1882,0.07900000000000004,0.071,,,,,291.9,1.2,,,,,,
1883,-0.003999999999999948,0.065,,,,,,,,,,,,
1884,-0.11699999999999994,0.065,,,,,,,,,,,854.9896713286713,15.0
1885,-0.09699999999999998,0.066,,,,,,,,,,,,
1886,-0.07499999999999996,0.065,,,,,293.7,1.2,,,,,,
1887,-0.12599999999999995,0.064,,,,,,,,,,,,
1888,-0.014999999999999958,0.063,,,,,,,,,,,861.136020979021,15.0
1889,0.12100000000000002,0.065,,,,,,,,,,,,
1890,-0.12399999999999994,0.063,,,,,,,,,,,,
1891,-0.03799999999999998,0.064,,,,,,,,,,,,
1892,-0.16299999999999998,0.065,,,,,294.6,1.2,,,,,,
1893,-0.18099999999999994,0.064,,,,,,,,,,,865.643958041958,15.0
1894,-0.11799999999999994,0.063,,,,,,,,,,,881.4055454545454,15.0
1895,-0.09799999999999998,0.062,,,,,,,,,,,,
1896,0.10600000000000004,0.064,,,,,,,,,,,,
1897,0.08600000000000005,0.063,,,,,,,,,,,,
1898,-0.11999999999999994,0.063,,,,,294.7,1.2,,,,,,
1899,0.003000000000000058,0.062,,,,,,,,,,,,
1900,0.08900000000000002,0.063,,,,,,,,,,,893.0750699300698,15.0
1901,0.03300000000000003,0.065,,,,,,,,,,,899.3366573426573,15.0
1902,-0.10999999999999999,0.062,,,,,,,,,,,,
1903,-0.18699999999999994,0.063,,,,,,,,,,,,
1904,-0.22799999999999998,0.063,,,,,,,,,,,,
1905,-0.08499999999999996,0.061,,,,,297.7,1.2,,,,,,
