YEAR,CONC,EFOSS
1765,277.951,0
1766,277.98,0
1767,278.011,0
1768,278.045,0
1769,278.082,0
1770,278.121,0
1771,278.164,0
1772,278.21,0
1773,278.258,0
1774,278.31,0
1775,278.364,0
1776,278.422,0
1777,278.483,0
1778,278.546,0
1779,278.613,0
1780,278.683,0
1781,278.756,0
1782,278.833,0
1783,278.912,0
1784,278.995,0
1785,279.081,0
1786,279.171,0
1787,279.263,0
1788,279.359,0
1789,279.459,0
1790,279.561,0
1791,279.668,0
1792,279.777,0
1793,279.89,0
1794,280.007,0
1795,280.127,0
1796,280.25,0
1797,280.377,0
1798,280.507,0
1799,280.64,0
1800,280.776,0
1801,280.914,0
1802,281.054,0
1803,281.195,0
1804,281.337,0
1805,281.479,0
1806,281.622,0
1807,281.764,0
1808,281.906,0
1809,282.047,0
1810,282.185,0
1811,282.322,0
1812,282.457,0
1813,282.588,0
1814,282.717,0
1815,282.841,0
1816,282.962,0
1817,283.078,0
1818,283.19,0
1819,283.297,0
1820,283.401,0
1821,283.502,0
1822,283.6,0
1823,283.696,0
1824,283.79,0
1825,283.883,0
1826,283.974,0
1827,284.066,0
1828,284.157,0
1829,284.249,0
1830,284.343,0
1831,284.438,0
1832,284.535,0
1833,284.634,0
1834,284.738,0
1835,284.845,0
1836,284.956,0
1837,285.072,0
1838,285.193,0
1839,285.321,0
1840,285.454,0
1841,285.594,0
1842,285.737,0
1843,285.881,0.0002
1844,286.026,0.0011
1845,286.168,0.0032
1846,286.309,0.007
1847,286.448,0.0119
1848,286.583,0.0174
1849,286.716,0.0231
1850,286.845,0.029
1851,286.971,0.035
1852,287.094,0.041
1853,287.214,0.0469
1854,287.33,0.0526
1855,287.442,0.0584
1856,287.552,0.0641
1857,287.658,0.07
1858,287.763,0.0759
1859,287.868,0.0816
1860,287.973,0.0871
1861,288.078,0.0922
1862,288.185,0.0969
1863,288.294,0.1017
1864,288.407,0.1076
1865,288.524,0.1145
1866,288.646,0.1217
1867,288.773,0.1284
1868,288.905,0.134
1869,289.044,0.1387
1870,289.188,0.1441
1871,289.338,0.1518
1872,289.495,0.1619
1873,289.659,0.1723
1874,289.83,0.1804
1875,290.009,0.1856
1876,290.196,0.189
1877,290.39,0.1923
1878,290.592,0.1966
1879,290.801,0.2033
1880,291.017,0.2138
1881,291.241,0.228
1882,291.47,0.2441
1883,291.704,0.2592
1884,291.944,0.2704
1885,292.189,0.2771
1886,292.437,0.2819
1887,292.688,0.2893
1888,292.943,0.3014
1889,293.2,0.3166
1890,293.457,0.3322
1891,293.715,0.3463
1892,293.971,0.3572
1893,294.225,0.3651
1894,294.475,0.3725
1895,294.721,0.383
1896,294.963,0.3975
1897,295.201,0.4156
1898,295.439,0.4372
1899,295.677,0.4629
1900,295.917,0.4906
1901,296.16,0.5171
1902,296.408,0.5417
1903,296.663,0.5666
1904,296.926,0.5937
1905,297.198,0.6242
1906,297.477,0.6593
1907,297.764,0.6964
1908,298.056,0.7289
1909,298.353,0.754
1910,298.655,0.7765
1911,298.958,0.8024
1912,299.265,0.8314
1913,299.573,0.8559
1914,299.884,0.8674
1915,300.196,0.8688
1916,300.509,0.8739
1917,300.823,0.8889
1918,301.137,0.9026
1919,301.451,0.9043
1920,301.766,0.8972
1921,302.08,0.8924
1922,302.394,0.8997
1923,302.707,0.9237
1924,303.018,0.9578
1925,303.326,0.9887
1926,303.63,1.0133
1927,303.929,1.0393
1928,304.222,1.0693
1929,304.51,1.0912
1930,304.792,1.0866
1931,305.069,1.0483
1932,305.343,0.9937
1933,305.613,0.9562
1934,305.88,0.9582
1935,306.147,0.9976
1936,306.413,1.0578
1937,306.68,1.1191
1938,306.95,1.1682
1939,307.225,1.206
1940,307.506,1.2427
1941,307.794,1.2812
1942,308.092,1.3138
1943,308.4,1.3313
1944,308.72,1.3291
1945,309.054,1.3133
1946,309.403,1.3075
1947,309.766,1.336
1948,310.146,1.3981
1949,310.542,1.4741
1950,310.956,1.5538
1951,311.388,1.6386
1952,311.841,1.7221
1953,312.314,1.7943
1954,312.809,1.8615
1955,313.328,1.9427
1956,313.87,2.0451
1957,314.439,2.1567
1958,315.035,2.2634
1959,315.659,2.3632
1960,316.31,2.4586
1961,316.983,2.5495
1962,317.673,2.6406
1963,318.378,2.7448
1964,319.106,2.8697
1965,319.872,3.0101
1966,320.692,3.1555
1967,321.574,3.3022
1968,322.517,3.4579
1969,323.525,3.6337
1970,324.594,3.8304
1971,325.716,4.0342
1972,326.883,4.2278
1973,328.086,4.3974
1974,329.311,4.5328
1975,330.555,4.6391
1976,331.834,4.7415
1977,333.163,4.8618
1978,334.544,4.995
1979,335.965,5.1156
1980,337.415,5.1919
1981,338.885,5.2043
1982,340.371,5.172
1983,341.88,5.1483
1984,343.42,5.1806
1985,344.992,5.2797
1986,346.601,5.4256
1987,348.193,5.5907
1988,349.768,5.7545
1989,351.335,5.9005
1990,352.865,6.0129
1991,354.4,6.167
1992,355.914,6.2293
1993,357.424,6.2916
1994,358.941,6.3539
1995,360.472,6.4162
1996,362.022,6.4785
1997,363.592,6.5408
1998,365.182,6.6031
1999,366.792,6.6654
2000,368.422,6.7277
2001,-9999.99,-9999.99
2002,-9999.99,-9999.99
2003,-9999.99,-9999.99
2004,-9999.99,-9999.99
2005,-9999.99,-9999.99
2006,-9999.99,-9999.99
2007,-9999.99,-9999.99
2008,-9999.99,-9999.99
2009,-9999.99,-9999.99
2010,-9999.99,-9999.99
2011,-9999.99,-9999.99
2012,-9999.99,-9999.99
2013,-9999.99,-9999.99
2014,-9999.99,-9999.99
2015,-9999.99,-9999.99
2016,-9999.99,-9999.99
2017,-9999.99,-9999.99
2018,-9999.99,-9999.99
2019,-9999.99,-9999.99
2020,-9999.99,-9999.99
2021,-9999.99,-9999.99
2022,-9999.99,-9999.99
2023,-9999.99,-9999.99
2024,-9999.99,-9999.99
2025,-9999.99,-9999.99
2026,-9999.99,-9999.99
2027,-9999.99,-9999.99
2028,-9999.99,-9999.99
2029,-9999.99,-9999.99
2030,-9999.99,-9999.99
2031,-9999.99,-9999.99
2032,-9999.99,-9999.99
2033,-9999.99,-9999.99
2034,-9999.99,-9999.99
2035,-9999.99,-9999.99
2036,-9999.99,-9999.99
2037,-9999.99,-9999.99
2038,-9999.99,-9999.99
2039,-9999.99,-9999.99
2040,-9999.99,-9999.99
2041,-9999.99,-9999.99
2042,-9999.99,-9999.99
2043,-9999.99,-9999.99
2044,-9999.99,-9999.99
2045,-9999.99,-9999.99
2046,-9999.99,-9999.99
2047,-9999.99,-9999.99
2048,-9999.99,-9999.99
2049,-9999.99,-9999.99
2050,-9999.99,-9999.99
2051,-9999.99,-9999.99
2052,-9999.99,-9999.99
2053,-9999.99,-9999.99
2054,-9999.99,-9999.99
2055,-9999.99,-9999.99
2056,-9999.99,-9999.99
2057,-9999.99,-9999.99
2058,-9999.99,-9999.99
2059,-9999.99,-9999.99
2060,-9999.99,-9999.99
2061,-9999.99,-9999.99
2062,-9999.99,-9999.99
2063,-9999.99,-9999.99
2064,-9999.99,-9999.99
2065,-9999.99,-9999.99
2066,-9999.99,-9999.99
2067,-9999.99,-9999.99
2068,-9999.99,-9999.99
2069,-9999.99,-9999.99
2070,-9999.99,-9999.99
2071,-9999.99,-9999.99
2072,-9999.99,-9999.99
2073,-9999.99,-9999.99
2074,-9999.99,-9999.99
2075,-9999.99,-9999.99
2076,-9999.99,-9999.99
2077,-9999.99,-9999.99
2078,-9999.99,-9999.99
2079,-9999.99,-9999.99
2080,-9999.99,-9999.99
2081,-9999.99,-9999.99
2082,-9999.99,-9999.99
2083,-9999.99,-9999.99
2084,-9999.99,-9999.99
2085,-9999.99,-9999.99
2086,-9999.99,-9999.99
2087,-9999.99,-9999.99
2088,-9999.99,-9999.99
2089,-9999.99,-9999.99
2090,-9999.99,-9999.99
2091,-9999.99,-9999.99
2092,-9999.99,-9999.99
2093,-9999.99,-9999.99
2094,-9999.99,-9999.99
2095,-9999.99,-9999.99
2096,-9999.99,-9999.99
2097,-9999.99,-9999.99
2098,-9999.99,-9999.99
2099,-9999.99,-9999.99
2100,-9999.99,-9999.99
2101,-9999.99,-9999.99
2102,-9999.99,-9999.99
2103,-9999.99,-9999.99
2104,-9999.99,-9999.99
2105,-9999.99,-9999.99
2106,-9999.99,-9999.99
2107,-9999.99,-9999.99
2108,-9999.99,-9999.99
2109,-9999.99,-9999.99
2110,-9999.99,-9999.99
2111,-9999.99,-9999.99
2112,-9999.99,-9999.99
2113,-9999.99,-9999.99
2114,-9999.99,-9999.99
2115,-9999.99,-9999.99
2116,-9999.99,-9999.99
2117,-9999.99,-9999.99
2118,-9999.99,-9999.99
2119,-9999.99,-9999.99
2120,-9999.99,-9999.99
2121,-9999.99,-9999.99
2122,-9999.99,-9999.99
2123,-9999.99,-9999.99
2124,-9999.99,-9999.99
2125,-9999.99,-9999.99
2126,-9999.99,-9999.99
2127,-9999.99,-9999.99
2128,-9999.99,-9999.99
2129,-9999.99,-9999.99
2130,-9999.99,-9999.99
2131,-9999.99,-9999.99
2132,-9999.99,-9999.99
2133,-9999.99,-9999.99
2134,-9999.99,-9999.99
2135,-9999.99,-9999.99
2136,-9999.99,-9999.99
2137,-9999.99,-9999.99
2138,-9999.99,-9999.99
2139,-9999.99,-9999.99
2140,-9999.99,-9999.99
2141,-9999.99,-9999.99
2142,-9999.99,-9999.99
2143,-9999.99,-9999.99
2144,-9999.99,-9999.99
2145,-9999.99,-9999.99
2146,-9999.99,-9999.99
2147,-9999.99,-9999.99
2148,-9999.99,-9999.99
2149,-9999.99,-9999.99
2150,-9999.99,-9999.99
2151,-9999.99,-9999.99
2152,-9999.99,-9999.99
2153,-9999.99,-9999.99
2154,-9999.99,-9999.99
2155,-9999.99,-9999.99
2156,-9999.99,-9999.99
2157,-9999.99,-9999.99
2158,-9999.99,-9999.99
2159,-9999.99,-9999.99
2160,-9999.99,-9999.99
2161,-9999.99,-9999.99
2162,-9999.99,-9999.99
2163,-9999.99,-9999.99
2164,-9999.99,-9999.99
2165,-9999.99,-9999.99
2166,-9999.99,-9999.99
2167,-9999.99,-9999.99
2168,-9999.99,-9999.99
2169,-9999.99,-9999.99
2170,-9999.99,-9999.99
2171,-9999.99,-9999.99
2172,-9999.99,-9999.99
2173,-9999.99,-9999.99
2174,-9999.99,-9999.99
2175,-9999.99,-9999.99
2176,-9999.99,-9999.99
2177,-9999.99,-9999.99
2178,-9999.99,-9999.99
2179,-9999.99,-9999.99
2180,-9999.99,-9999.99
2181,-9999.99,-9999.99
2182,-9999.99,-9999.99
2183,-9999.99,-9999.99
2184,-9999.99,-9999.99
2185,-9999.99,-9999.99
2186,-9999.99,-9999.99
2187,-9999.99,-9999.99
2188,-9999.99,-9999.99
2189,-9999.99,-9999.99
2190,-9999.99,-9999.99
2191,-9999.99,-9999.99
2192,-9999.99,-9999.99
2193,-9999.99,-9999.99
2194,-9999.99,-9999.99
2195,-9999.99,-9999.99
2196,-9999.99,-9999.99
2197,-9999.99,-9999.99
2198,-9999.99,-9999.99
2199,-9999.99,-9999.99
2200,-9999.99,-9999.99
2201,-9999.99,-9999.99
2202,-9999.99,-9999.99
2203,-9999.99,-9999.99
2204,-9999.99,-9999.99
2205,-9999.99,-9999.99
2206,-9999.99,-9999.99
2207,-9999.99,-9999.99
2208,-9999.99,-9999.99
2209,-9999.99,-9999.99
2210,-9999.99,-9999.99
2211,-9999.99,-9999.99
2212,-9999.99,-9999.99
2213,-9999.99,-9999.99
2214,-9999.99,-9999.99
2215,-9999.99,-9999.99
2216,-9999.99,-9999.99
