years,nonch4_forcing
1765,0
1766,0.001287792
1767,0.003128393
1768,0.003863787
1769,0.00433267
1770,0.004787515
1771,0.005230487
1772,0.005663865
1773,0.006088777
1774,0.006505686
1775,0.006914959
1776,0.007316884
1777,0.007711675
1778,0.008099489
1779,0.008480426
1780,0.008853973
1781,0.009218851
1782,0.009574781
1783,0.009923411
1784,0.010267129
1785,0.010608298
1786,0.010949249
1787,0.011292298
1788,0.011639732
1789,0.011993825
1790,0.012356402
1791,0.012727942
1792,0.013107725
1793,0.013494936
1794,0.01388894
1795,0.014289098
1796,0.014694768
1797,0.015105307
1798,0.015520066
1799,0.015938398
1800,0.016360836
1801,0.016790084
1802,0.017228375
1803,0.017675205
1804,0.018128799
1805,0.018587389
1806,0.019049214
1807,0.019512519
1808,0.019975558
1809,0.020436593
1810,0.020894769
1811,0.021351243
1812,0.021807799
1813,0.022264981
1814,0.022722581
1815,0.023180394
1816,0.023638214
1817,0.024095838
1818,0.024553062
1819,0.025009682
1820,0.025465566
1821,0.025920759
1822,0.026375417
1823,0.02682965
1824,0.027283523
1825,0.027737098
1826,0.028190439
1827,0.02864361
1828,0.029096673
1829,0.029549689
1830,0.030002275
1831,0.030453325
1832,0.030902178
1833,0.031349418
1834,0.031796158
1835,0.03224351
1836,0.032692578
1837,0.033144462
1838,0.033600255
1839,0.034061046
1840,0.034528561
1841,0.035005154
1842,0.035491544
1843,0.035985875
1844,0.036485333
1845,0.036987124
1846,0.03748847
1847,0.037986614
1848,0.03847881
1849,0.038962333
1850,0.039433507
1851,0.039979691
1852,0.04034102
1853,0.040462755
1854,0.040602489
1855,0.040705422
1856,0.040822011
1857,0.041002882
1858,0.041193941
1859,0.041393825
1860,0.041601342
1861,0.041872791
1862,0.042244567
1863,0.042709462
1864,0.043216517
1865,0.043811747
1866,0.044438861
1867,0.045042275
1868,0.045669953
1869,0.046318767
1870,0.047036949
1871,0.047586219
1872,0.047948193
1873,0.048192864
1874,0.048325798
1875,0.048412137
1876,0.048414206
1877,0.048292826
1878,0.048108436
1879,0.047869673
1880,0.047634065
1881,0.047402059
1882,0.047148948
1883,0.046880437
1884,0.046533039
1885,0.046111278
1886,0.045717965
1887,0.045356158
1888,0.044979149
1889,0.0445894
1890,0.044189044
1891,0.043906374
1892,0.043796843
1893,0.043755152
1894,0.043709958
1895,0.043752294
1896,0.043876791
1897,0.043982576
1898,0.044113884
1899,0.044315321
1900,0.04458343
1901,0.045022841
1902,0.04563625
1903,0.046371728
1904,0.04717073
1905,0.047983397
1906,0.048807542
1907,0.049641248
1908,0.050528585
1909,0.051467642
1910,0.052365784
1911,0.053217347
1912,0.053927439
1913,0.054539906
1914,0.055193887
1915,0.055844251
1916,0.056490872
1917,0.057133676
1918,0.057815799
1919,0.058536694
1920,0.059209889
1921,0.059843909
1922,0.060665707
1923,0.061673861
1924,0.06268227
1925,0.063690251
1926,0.064697218
1927,0.065702672
1928,0.066706192
1929,0.067666897
1930,0.068584928
1931,0.069496824
1932,0.070335481
1933,0.071101171
1934,0.071822077
1935,0.072498786
1936,0.073171355
1937,0.073839961
1938,0.074504734
1939,0.0751658
1940,0.075861672
1941,0.076572245
1942,0.077949207
1943,0.079995274
1944,0.082062817
1945,0.084153264
1946,0.086267468
1947,0.088443483
1948,0.090644469
1949,0.092870656
1950,0.095158945
1951,0.097341723
1952,0.099887736
1953,0.102815183
1954,0.105657319
1955,0.108428688
1956,0.111177129
1957,0.113912874
1958,0.116610553
1959,0.119278152
1960,0.121956504
1961,0.124744515
1962,0.12822948
1963,0.132371036
1964,0.136566555
1965,0.14084278
1966,0.145162551
1967,0.149521358
1968,0.153946606
1969,0.158433976
1970,0.162949509
1971,0.16741689
1972,0.17210278
1973,0.177010666
1974,0.181881516
1975,0.186718536
1976,0.191524559
1977,0.196329928
1978,0.201136241
1979,0.205917073
1980,0.21078183
1981,0.215810323
1982,0.220197762
1983,0.22389777
1984,0.22741216
1985,0.230556369
1986,0.23351364
1987,0.23640563
1988,0.239210671
1989,0.241971883
1990,0.244712107
1991,0.247756254
1992,0.249366284
1993,0.24938385
1994,0.249624321
1995,0.250099453
1996,0.250564252
1997,0.251273096
1998,0.252395109
1999,0.253487301
2000,0.254213403
2001,0.254525889
2002,0.255175159
2003,0.256117953
2004,0.256704076
2005,0.257013173
2006,0.25728931
2007,0.257529954
2008,0.257675735
2009,0.257831492
2010,0.257971489
2011,0.258063958
2012,0.258554597
2013,0.259467322
2014,0.260392135
2015,0.261334663
2016,0.262296177
2017,0.263274786
2018,0.264268965
2019,0.265277676
2020,0.266299577
2021,0.267351495
2022,0.267573814
2023,0.266962138
2024,0.26636284
2025,0.265777044
2026,0.265206402
2027,0.264649188
2028,0.264101275
2029,0.263559628
2030,0.263022209
2031,0.262385058
2032,0.26083628
2033,0.258423991
2034,0.256017263
2035,0.25362003
2036,0.251235207
2037,0.248865798
2038,0.246511034
2039,0.244167412
2040,0.241832252
2041,0.239482317
2042,0.237347447
2043,0.235426073
2044,0.233490398
2045,0.231545624
2046,0.2295956
2047,0.227643475
2048,0.225692614
2049,0.223742778
2050,0.221791003
2051,0.219936471
2052,0.218438709
2053,0.217251949
2054,0.216054307
2055,0.214838789
2056,0.213608543
2057,0.212366054
2058,0.211113524
2059,0.209853814
2060,0.208586425
2061,0.207412416
2062,0.206399409
2063,0.205507198
2064,0.204616486
2065,0.20371609
2066,0.202798514
2067,0.201866652
2068,0.20092296
2069,0.199969668
2070,0.199009715
2071,0.198023465
2072,0.197095928
2073,0.196232653
2074,0.195354186
2075,0.194460806
2076,0.193545928
2077,0.192605793
2078,0.191646515
2079,0.190673343
2080,0.189690815
2081,0.188679514
2082,0.18751997
2083,0.186219603
2084,0.184909092
2085,0.183589172
2086,0.182260502
2087,0.180916695
2088,0.17955397
2089,0.178178513
2090,0.176795711
2091,0.17550474
2092,0.174479653
2093,0.173686679
2094,0.172910815
2095,0.172146389
2096,0.171389466
2097,0.170636882
2098,0.169878978
2099,0.169109188
2100,0.168331544
2101,0.167598328
2102,0.16717144
2103,0.167037868
2104,0.166917864
2105,0.166806143
2106,0.166698652
2107,0.166592802
2108,0.166486616
2109,0.166371373
2110,0.166241209
2111,0.166100881
2112,0.165955057
2113,0.165807629
2114,0.16566288
2115,0.165521224
2116,0.165379895
2117,0.165236835
2118,0.165091206
2119,0.164942431
2120,0.164782933
2121,0.164607668
2122,0.164422204
2123,0.164231979
2124,0.164041561
2125,0.16385567
2126,0.163675084
2127,0.163497183
2128,0.163319968
