year,CH4_conc,N2O_conc
1765,721.89411,272.95961
1766,722.2557,272.97121
1767,722.97082,272.99419
1768,723.66792,273.01678
1769,724.34313,273.03903
1770,724.99526,273.06096
1771,725.62885,273.08257
1772,726.24956,273.10386
1773,726.85863,273.12486
1774,727.45484,273.14563
1775,728.03699,273.16621
1776,728.60387,273.1866
1777,729.15429,273.20677
1778,729.68703,273.22676
1779,730.2009,273.24665
1780,730.6922,273.26646
1781,731.1541,273.2862
1782,731.58425,273.30585
1783,731.98888,273.32543
1784,732.37758,273.345
1785,732.75995,273.36463
1786,733.14559,273.38432
1787,733.5441,273.40402
1788,733.96508,273.42378
1789,734.41811,273.44363
1790,734.91094,273.46365
1791,735.44542,273.48382
1792,736.01824,273.50412
1793,736.62566,273.52457
1794,737.26478,273.54523
1795,737.93271,273.56615
1796,738.62653,273.58733
1797,739.34336,273.60876
1798,740.08028,273.63046
1799,740.83442,273.65247
1800,741.60809,273.67485
1801,742.41328,273.69762
1802,743.25995,273.72076
1803,744.14594,273.74429
1804,745.06346,273.76825
1805,746.00472,273.79267
1806,746.96192,273.81758
1807,747.92726,273.84297
1808,748.89296,273.86887
1809,749.85122,273.89529
1810,750.79817,273.92226
1811,751.73895,273.94981
1812,752.68156,273.97794
1813,753.62843,274.00668
1814,754.57866,274.03605
1815,755.53133,274.06606
1816,756.48552,274.09675
1817,757.44032,274.12813
1818,758.39482,274.16024
1819,759.34809,274.19306
1820,760.29954,274.22661
1821,761.24938,274.2609
1822,762.19831,274.29596
1823,763.14684,274.33183
1824,764.09528,274.3685
1825,765.04391,274.40598
1826,765.99304,274.4443
1827,766.94296,274.48351
1828,767.89398,274.52361
1829,768.84639,274.56461
1830,769.79844,274.6065
1831,770.74504,274.64929
1832,771.68313,274.69305
1833,772.61538,274.73779
1834,773.54693,274.78351
1835,774.4829,274.83022
1836,775.42843,274.87793
1837,776.38866,274.92669
1838,777.36871,274.97655
1839,778.37371,275.02748
1840,779.4118,275.07966
1841,780.49406,275.13642
1842,781.62403,275.2022
1843,782.79322,275.27313
1844,783.98863,275.3371
1845,785.19726,275.38045
1846,786.40611,275.3984
1847,787.60219,275.4013
1848,788.7725,275.40079
1849,789.90404,275.40032
1850,790.97924,275.42506
1851,792.25,275.5
1852,793.75,275.6
1853,795.25,275.7
1854,796.75,275.8
