  year       mean_ch4conc    unc
  1984       1644.57          0.68
  1985       1657.39          0.55
  1986       1669.84          0.73
  1987       1682.09          0.54
  1988       1693.19          0.62
  1989       1704.00          0.55
  1990       1714.00          0.65
  1991       1724.65          0.65
  1992       1735.31          0.55
  1993       1736.43          0.42
  1994       1741.86          0.51
  1995       1748.73          0.43
  1996       1750.94          0.61
  1997       1754.36          0.36
  1998       1765.36          0.70
  1999       1771.98          0.55
  2000       1773.05          0.68
  2001       1770.99          0.55
  2002       1772.59          0.47
  2003       1776.89          0.56
  2004       1776.95          0.56
  2005       1773.94          0.64
  2006       1774.65          0.47
  2007       1781.02          0.58
  2008       1786.86          0.55
  2009       1793.19          0.64
  2010       1798.64          0.78
  2011       1802.95          0.69
  2012       1808.19          0.50
  2013       1813.28          0.62
  2014       1822.50          0.51
