# Atmospheric CH4 in firn air samples from DE08-2. Law Dome (Antarctica) ice core,,,
#,,,
"# Downloaded on March 21, 2018 from: http://cdiac.ess-dive.lbl.gov/trends/atm_meth/lawdome_meth-data.html ",,,
# Actual file can be found at: http://cdiac.ess-dive.lbl.gov/ftp/trends/atm_meth/EthCH498A.txt,,,
#,,,
"# Etheridge, D.M., L.P. Steele, R.J. Francey, and R.L. Langenfelds,",,,
# Atmospheric methane between 1000 AD and present: Evidence of anthropogenic emissions and,,,
# climatic variability.,,,
"# Journal of Geophysical Research, 103, D13, 15,979-15,993, 1998.",,,
"# Please see the above paper or contact David Etheridge, CSIRO, Australia with any queries.",,,
#,,,
# CH4 in firn air samples from DE08-2. From Figures 1 and 5.,,,
#,,,
# Units: AD,ppb,meters,years
air_age,CH4,depth,years_before_2000_AD
1978.2,1460.9,85,22
1981.5,1498.7,80,19
1981.5,1497.3,80,19
1984.2,1563.9,75,16
1984.2,1562.6,75,16
1985.5,1593.2,70,15
1985.5,1589.6,70,15
1986.1,1601.5,65,14
1986.7,1603,60,13
1987.2,1608.6,55,13
1987.2,1607.8,55,13
1988.7,1626.5,40,11
1988.7,1625,40,11
1989.6,1641.8,30,10
1989.6,1639.4,30,10
1990.5,1650.5,20,9
1991,1655.3,15,9
1991.4,1659,10,9
1991.4,1656.3,10,9
1993.1,1654.1,0,7
1993.1,1652.5,0,7
